"FindingId","CollectorId","Layer","Severity","SeverityRank","Category","Title","Asset","Detail","Evidence","Criterios","CriteriosTexto","Recommendation","Host","DetectedAt"
"L5-02-A6AD93E9","L5-02","L5","High","4","Persistencia","Suscripciones de eventos WMI permanentes registradas","1 consumidores","Las suscripciones WMI permanentes ejecutan codigo ante eventos del sistema y sobreviven a reinicios. Son poco frecuentes en configuraciones legitimas y constituyen una tecnica de persistencia sigilosa.","SCM Event Log Consumer","REG-02; VUL-02","REG-02; VUL-02","Identificar el producto que registro cada suscripcion. Si no se corresponde con software autorizado (agentes de monitoreo o gestion), tratar como incidente.","SRV-SAP","2026-08-12T13:58:13"
"L6-01-5AC9FB02","L6-01","L6","High","4","Autenticacion","Longitud minima de contrasena por debajo de la recomendacion","Politica local de contrasenas","La longitud minima configurada es de 7 caracteres. Las lineas base actuales recomiendan al menos 14 para cuentas locales de servidor.","","ACC-03","ACC-03","Elevar la longitud minima a 14 caracteres o mas mediante directiva de grupo, priorizando longitud sobre complejidad.","SRV-SAP","2026-08-12T13:58:13"
"L6-01-90D1810C","L6-01","L6","High","4","Autenticacion","Bloqueo de cuenta por intentos fallidos no configurado","Politica local de contrasenas","Sin umbral de bloqueo, el servidor no ofrece resistencia frente a ataques de fuerza bruta o de rociado de contrasenas.","","ACC-03","ACC-03","Configurar un umbral de bloqueo (referencia: 10 intentos fallidos, ventana de 15 minutos) equilibrando seguridad y disponibilidad.","SRV-SAP","2026-08-12T13:58:13"
"L6-01-194F1AFB","L6-01","L6","High","4","AccesoRemoto","RDP habilitado sin autenticacion a nivel de red (NLA)","RDP-Tcp","Sin NLA, el servidor establece una sesion completa antes de autenticar al usuario, lo que lo expone a agotamiento de recursos y a vulnerabilidades previas a la autenticacion.","","ACC-03; ACC-04; RED-01","ACC-03; ACC-04; RED-01","Habilitar UserAuthentication=1 y SecurityLayer=2 (TLS) en la configuracion de Escritorio remoto.","SRV-SAP","2026-08-12T13:58:13"
"L7-01-935A9774","L7-01","L7","High","4","ControlDeAcceso","Recursos compartidos con permisos amplios de escritura","4 recursos","Existen comparticiones que otorgan permisos de cambio o control total a grupos amplios, permitiendo lectura y modificacion de datos por cualquier cuenta autenticada de la red.","B1_SHR => Everyone: Full | Guacamole => Everyone: Full | Program Files => Everyone: Full | SAP Business One => Everyone: Full","ACC-04; DAT-02","ACC-04; DAT-02","Aplicar permisos basados en grupos especificos siguiendo el principio de privilegio minimo, tanto en la comparticion como en las ACL NTFS subyacentes.","SRV-SAP","2026-08-12T13:58:17"
"L7-01-D15EED41","L7-01","L7","High","4","ExposicionDeRed","Servicios sensibles escuchando en todas las interfaces de red","8 puertos","Estos servicios aceptan conexiones en cualquier interfaz (0.0.0.0 o ::). Si el firewall perimetral o de host no los restringe, quedan accesibles desde toda la red alcanzable.","5985/TCP [WinRM HTTP] <= System | 3389/TCP [RDP] <= svchost | 1433/TCP [Microsoft SQL Server] <= sqlservr | 445/TCP [SMB] <= System | 135/TCP [RPC Endpoint Mapper] <= svchost | 3389/TCP [RDP] <= svchost | 1433/TCP [Microsoft SQL Server] <= sqlservr | 135/TCP [RPC Endpoint Mapper] <= svchost","RED-01; RED-02; RED-03","RED-01; RED-02; RED-03","Restringir la escucha a las interfaces necesarias, aplicar reglas de firewall con origen acotado y aplicar segmentacion de red para los servicios de administracion y de base de datos.","SRV-SAP","2026-08-12T13:58:16"
"L8-01-3023B386","L8-01","L8","High","4","Registro","Registro de eventos deshabilitado: Microsoft-Windows-TaskScheduler/Operational","Microsoft-Windows-TaskScheduler/Operational","Un canal de registro deshabilitado elimina la trazabilidad de los eventos que cubre e impide la deteccion y la investigacion posterior.","","REG-01; REG-02","REG-01; REG-02","Habilitar el canal de registro y verificar que ninguna directiva de grupo lo este desactivando.","SRV-SAP","2026-08-12T13:58:59"
"L1-01-E857BE8A","L1-01","L1","Medium","3","Firmware","Firmware BIOS/UEFI con antiguedad superior a 4 anios","OpenStack Foundation OpenStack Nova","Fecha de version del BIOS: 2014-03-31 (4516 dias). El firmware desactualizado puede contener vulnerabilidades sin corregir.","BIOSVersion=BOCHS  - 1 Intel IGD BDSM enabled at 0x%08x, size %lldMB, dev 00:02.0","VUL-01; ARQ-01","VUL-01; ARQ-01","Revisar el catalogo de firmware del fabricante e incorporar el firmware al ciclo formal de gestion de parches.","SRV-SAP","2026-08-12T13:56:59"
"L2-01-2729E691","L2-01","L2","Medium","3","Parcheo","Reinicio pendiente: parches aplicados pero no efectivos","SRV-SAP","Indicadores detectados: PendingFileRename. Hasta que se reinicie, las correcciones instaladas no protegen al sistema.","","VUL-01; CAM-01","VUL-01; CAM-01","Coordinar el reinicio dentro de la proxima ventana de mantenimiento aprobada.","SRV-SAP","2026-08-12T13:57:04"
"L2-03-0DD29681","L2-03","L2","Medium","3","Hardening","Firma SMB no exigida en el servidor","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\RequireSecuritySignature","Valor actual: 0. Valor esperado segun linea base: 1.","HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\RequireSecuritySignature=0","RED-02","RED-02","Exigir firma SMB para mitigar ataques de retransmision (relay).","SRV-SAP","2026-08-12T13:57:15"
"L2-03-53FFF7D6","L2-03","L2","Medium","3","Hardening","UAC configurado sin solicitud de consentimiento","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorAdmin","Valor actual: 5. Valor esperado segun linea base: 2.","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorAdmin=5","ARQ-01","ARQ-01","Establecer ConsentPromptBehaviorAdmin en 2 (solicitar consentimiento en escritorio seguro) o superior.","SRV-SAP","2026-08-12T13:57:15"
"L4-06-B453ED7F","L4-06","L4","Medium","3","LineaBaseEA","Aplicaciones declaradas en el catalogo que no se detectaron en el servidor","REPOFEL","El catalogo de arquitectura declara 1 aplicacion(es) que no fueron encontradas mediante el registro de desinstalacion ni las rutas de servicios. O la aplicacion no reside en este servidor, o su patron de deteccion esta mal definido, o se despliega por un mecanismo que el inventario gestionado no cubre (copia manual, contenedor, recurso de red).","REPOFEL: patron '(?i)repofel'","INV-01; SW-03","INV-01; SW-03","Confirmar con el responsable si la aplicacion reside efectivamente en este activo. Si reside, ajustar el patron de deteccion en Arquitectura.psd1 o ejecutar el colector L4-03 con la ruta de despliegue incluida en UnmanagedScan.Rutas.","SRV-SAP","2026-08-12T13:58:11"
"L4-06-CD39602C","L4-06","L4","Medium","3","GobiernoDeActivos","Aplicaciones de negocio sin propietario asignado","REPOFEL, SAP","Sin propietario declarado no hay responsable de autorizar cambios, aprobar accesos, definir la clasificacion de la informacion ni asumir el riesgo residual del activo.","","INV-01; INV-03; ACC-02","INV-01; INV-03; ACC-02","Asignar propietario y responsable tecnico a cada aplicacion en Arquitectura.psd1, y formalizarlo en el inventario de activos del SGSI.","SRV-SAP","2026-08-12T13:58:11"
"L4-06-2906B263","L4-06","L4","Medium","3","GobiernoDeActivos","El servidor no tiene propietario declarado en la linea base","SRV-SAP","El bloque RolServidor de Arquitectura.psd1 mantiene el propietario sin definir. El activo no tiene responsable formal identificado.","","INV-01; INV-03","INV-01; INV-03","Completar Propietario, ResponsableTecnico y UnidadNegocio en Config\Arquitectura.psd1.","SRV-SAP","2026-08-12T13:58:11"
"L5-01-67CA0037","L5-01","L5","Medium","3","Privilegios","Servicios configurados con cuentas nominales o de dominio","2 servicios","Las cuentas nominales usadas como cuentas de servicio almacenan credenciales en el LSA, rara vez rotan su contrasena y dificultan la atribucion de acciones.","Tableau Bridge worker(db_replica@SRV-SAP) [.\db_replica] | Tableau Bridge worker(Administrator@SRV-SAP) [.\Administrator]","ACC-02; ACC-01; ACC-03","ACC-02; ACC-01; ACC-03","Migrar a cuentas de servicio administradas de grupo (gMSA) con rotacion automatica de contrasena, o a cuentas de servicio dedicadas con rotacion documentada.","SRV-SAP","2026-08-12T13:58:12"
"L5-01-046BB6B3","L5-01","L5","Medium","3","SoftwareNoGestionado","Servicios ejecutando binarios fuera de las rutas de instalacion estandar","5 servicios","Estos servicios ejecutan binarios que no residen en Windows ni en Archivos de programa, lo que sugiere software desplegado sin instalador o fuera del proceso de gestion de cambios.","cloudResetPwdAgent => C:\CloudResetPwdAgent\bin\wrapper.exe | cloudResetPwdUpdateAgent => C:\CloudResetPwdUpdateAgent\bin\wrapper.exe | MDCoreSvc => C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MpDefenderCoreService.exe | WdNisSvc => C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\NisSrv.exe | WinDefend => C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26070.9-0\MsMpEng.exe","SW-03; ARQ-01","SW-03; ARQ-01","Correlacionar cada servicio con el inventario de software autorizado (colector L4-01) y confirmar su firma digital (colector L4-04).","SRV-SAP","2026-08-12T13:58:12"
"L5-02-27B379B2","L5-02","L5","Medium","3","Automatizacion","Tareas programadas de terceros activas en el servidor","2 tareas","Cada tarea programada de terceros ejecuta codigo de forma automatica y desatendida. Constituyen tanto un mecanismo operativo legitimo como el vector de persistencia mas utilizado; deben estar inventariadas y aprobadas.","\OneDrive Per-Machine Standalone Update Task => C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe | \OneDrive Reporting Task-S-1-5-21-2969368601-2643879877-1254880530-1019 => C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe /reporting","SW-03; CAM-02; REG-02","SW-03; CAM-02; REG-02","Documentar cada tarea en el procedimiento operativo del servidor: proposito, responsable, cuenta de ejecucion y frecuencia. Deshabilitar las que no tengan dueno identificable.","SRV-SAP","2026-08-12T13:58:13"
"L6-01-73FA486D","L6-01","L6","Medium","3","Autenticacion","Contrasenas sin rotacion por periodo prolongado","7 cuentas","Cuentas cuya contrasena no cambia desde hace mas de 365 dias.","Administrator (1107 dias); b1scswworkingshare (559 dias); B1_Tech_User (559 dias); conta.seno (769 dias); edson.cuque (800 dias); jefedesarrollo (1048 dias); rublan (1006 dias)","ACC-03","ACC-03","Forzar el cambio de contrasena y verificar el cumplimiento de la politica corporativa de credenciales.","SRV-SAP","2026-08-12T13:58:13"
"L6-01-4D37F125","L6-01","L6","Medium","3","Identidad","Cuentas locales habilitadas sin uso reciente","3 cuentas","Las siguientes cuentas siguen habilitadas pese a no registrar inicio de sesion en mas de 90 dias. Las cuentas latentes amplian la superficie de ataque sin aportar valor operativo.","b1scswworkingshare (559 dias); edson.cuque (743 dias); jefedesarrollo (322 dias)","ACC-01; ACC-02","ACC-01; ACC-02","Ejecutar la revision periodica de derechos de acceso y deshabilitar las cuentas sin dueno o sin uso justificado.","SRV-SAP","2026-08-12T13:58:13"
"L6-01-8C334017","L6-01","L6","Medium","3","Identidad","Cuenta de administrador integrada habilitada","Administrator","La cuenta con SID terminado en -500 esta habilitada. Es un objetivo conocido de ataques de fuerza bruta y no permite atribuir acciones a una persona concreta. Nombre actual: Administrator.","SID=S-1-5-21-2969368601-2643879877-1254880530-500 UltimoInicio=2026-08-12","ACC-02; ACC-01; ACC-03","ACC-02; ACC-01; ACC-03","Deshabilitar la cuenta integrada y operar con cuentas administrativas nominales sujetas a trazabilidad. Si debe permanecer activa, renombrarla y asignarle una contrasena larga custodiada en boveda.","SRV-SAP","2026-08-12T13:58:13"
"L7-01-E56E5C19","L7-01","L7","Medium","3","Red","Reglas de firewall entrantes sin restriccion de origen ni de puerto","80 reglas","Estas reglas permiten trafico entrante desde cualquier origen hacia cualquier puerto, anulando en la practica el filtrado de host para el programa o perfil que cubren.","Core Networking - IPv6 (IPv6-In) [Any] | Cast to Device streaming server (RTCP-Streaming-In) [Domain] | Remote Desktop - Shadow (TCP-In) [Any] | AllJoyn Router (UDP-In) [Domain, Private] | Core Networking - Internet Group Management Protocol (IGMP-In) [Any] | Distributed Transaction Coordinator (TCP-In) [Any] | Your account [Domain, Private] | Work or school account [Domain, Private] | Start [Domain, Private] | Windows Search [Domain, Private] | Desktop App Web Viewer [Domain, Private, Public] | Your account [Domain, Private] | Work or school account [Domain, Private] | Start [Domain, Private] | Windows Search [Domain, Private]","RED-01; RED-02","RED-01; RED-02","Acotar cada regla al puerto y al rango de direcciones de origen estrictamente requeridos, y eliminar las reglas sin dueno identificable.","SRV-SAP","2026-08-12T13:58:59"
"L8-01-54971D23","L8-01","L8","Medium","3","Registro","Sin reenvio de registros a una plataforma centralizada","SRV-SAP","Los registros permanecen unicamente en el propio servidor. Un atacante con privilegios administrativos puede borrarlos, y la correlacion entre sistemas no es posible.","","REG-01; REG-02; REG-03","REG-01; REG-02; REG-03","Configurar Windows Event Forwarding o un agente de SIEM que remita los canales criticos a una plataforma centralizada con retencion e integridad protegidas.","SRV-SAP","2026-08-12T13:58:59"
"L8-01-8A614855","L8-01","L8","Medium","3","Capacidad","Espacio libre insuficiente en el volumen C:","C:","Espacio libre: 12.1% (42.25 GB de 349.9 GB). Umbral de advertencia: 15%, umbral critico: 8%. La falta de espacio compromete el registro de eventos, la aplicacion de parches y la disponibilidad del servicio.","","CAP-01; REG-01","CAP-01; REG-01","Liberar espacio, ampliar el volumen y establecer alertas de capacidad con umbral preventivo en la plataforma de monitoreo.","SRV-SAP","2026-08-12T13:59:00"
"L1-01-9E05F4AC","L1-01","L1","Low","2","Gobierno","Servidor fuera de dominio (workgroup)","SRV-SAP","El equipo no pertenece a un dominio, por lo que no recibe politicas de grupo centralizadas.","","ARQ-01; ACC-04","ARQ-01; ACC-04","Confirmar si el aislamiento es intencional. De no serlo, incorporar al dominio o aplicar una linea base local equivalente y auditable.","SRV-SAP","2026-08-12T13:56:59"
"L4-01-408BDE81","L4-01","L4","Low","2","LineaBaseEA","Artefactos sin ruta de instalacion determinable","16 paquetes","No fue posible resolver la ubicacion fisica de 16 artefactos a partir de InstallLocation, UninstallString ni DisplayIcon. Sin ruta conocida no se puede verificar integridad, aplicar control de aplicaciones ni delimitar el respaldo.","SAP Crystal Reports runtime engine for .NET Framework (64-bit); Microsoft Visual C++ 2005 Redistributable (x64); Microsoft VSS Writer for SQL Server 2019; vs_CoreEditorFonts; Microsoft SQL Server 2012 Native Client; Microsoft OLE DB Driver for SQL Server; Microsoft Visual C++ 2005 Redistributable; Microsoft ODBC Driver 17 for SQL Server; Microsoft SQL Server 2019 T-SQL Language Service; Microsoft Access database engine 2010 (English); Instalador; Browser for SQL Server 2019; Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219; Microsoft SQL Server 2019 Setup (English); SSO.TRF.InstaladorAsientosContables","INV-01; SW-03","INV-01; SW-03","Completar la ruta manualmente en el inventario de arquitectura para estos artefactos, o retirarlos si ya no estan efectivamente instalados.","SRV-SAP","2026-08-12T13:57:25"
"L4-01-3EA66EB7","L4-01","L4","Low","2","CicloDeVida","Software sin actualizacion desde hace mas de dos anios","15 paquetes","15 paquetes no registran instalacion ni actualizacion en mas de 730 dias. Puede tratarse de software estable o de software abandonado sin mantenimiento de seguridad.","VMware Tools 11.3.5.18557794 [2022-06-14]; Browser for SQL Server 2019 15.0.2000.5 [2023-03-08]; Microsoft SQL Server 2019 T-SQL Language Service 15.0.2000.5 [2023-03-08]; Microsoft VSS Writer for SQL Server 2019 15.0.2000.5 [2023-03-08]; Microsoft SQL Server 2019 Setup (English) 15.0.2000.5 [2023-03-08]; Microsoft SQL Server 2012 Native Client 11.4.7462.6 [2023-03-08]; Microsoft Access database engine 2010 (English) 14.0.7015.1000 [2023-05-24]; Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219 10.0.40219 [2023-05-25]; Microsoft Visual C++ 2005 Redistributable (x64) 8.0.61000 [2023-05-25]; Microsoft Visual C++ 2005 Redistributable 8.0.61001 [2023-05-25]; SAP Business One Client Agent 1.0.1.6 [2023-10-12]; BOERuntime For Business One (64 bit) 1.00.0000 [2023-10-19]; SAP Business One Crystal Report Integration Package 1.00.0000 [2023-10-23]; Azure Data Studio 1.47.0 [2023-12-09]; SSO.TRF.InstaladorAsientosContables 10.0.0 [2024-01-04]","VUL-01; INV-01","VUL-01; INV-01","Verificar para cada paquete si existe una version soportada mas reciente y si el proveedor mantiene el producto. Ver tambien el colector L4-05 de ciclo de vida.","SRV-SAP","2026-08-12T13:57:25"
"L4-04-79188365","L4-04","L4","Low","2","Procedencia","Binarios firmados por publicadores no incluidos en la lista de confianza","8 binarios de 5 publicadores","Estos artefactos tienen firma valida pero su publicador no figura en la lista de proveedores aprobados de la configuracion. No es necesariamente una desviacion, pero requiere validacion del inventario autorizado.","CN=The Apache Software Foundation, OU=Apache Commons PMC, O=The Apache Software Foundation, L=Wilmington, S=Delaware, C=US, SERIALNUMBER=3022048, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1... | CN=Checkmk GmbH, O=Checkmk GmbH, S=Bayern, C=DE | CN=Tanuki Software Ltd., O=Tanuki Software Ltd., STREET=""6-16-7-1001 Nishi-Kasai, Edogawa-ku"", L=Tokyo, S=Tokyo, PostalCode=134-0088, C=JP | CN=SAP SE, OU=SAP Production CSA, O=SAP SE, L=Walldorf, S=Baden-Württemberg, C=DE | CN=""Salesforce, Inc."", O=""Salesforce, Inc."", L=San Francisco, S=California, C=US","INV-01; SW-03; SW-04","INV-01; SW-03; SW-04","Revisar cada publicador con el responsable del activo y actualizar la lista PublicadoresConfiables en Audit.config.psd1 para reducir el ruido en ejecuciones posteriores.","SRV-SAP","2026-08-12T13:57:58"
"L4-05-4CB6CE83","L4-05","L4","Low","2","CicloDeVida","Coexistencia de multiples versiones del mismo producto","3 productos","La convivencia de varias versiones dificulta la gestion de parches: una version antigua puede permanecer vulnerable aunque la nueva ya este corregida.","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664: 12.0.40664.0, 12.0.21005.1 | Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664: 12.0.40664.0, 12.0.21005.1, 12.0.30501.0 | Microsoft Visual Studio Tools for Applications 2019: 16.0.31110, 15.0.27520","SW-02; VUL-01; INV-01","SW-02; VUL-01; INV-01","Desinstalar las versiones obsoletas tras confirmar que ninguna aplicacion depende de ellas.","SRV-SAP","2026-08-12T13:58:00"
"L5-01-E6541DEF","L5-01","L5","Low","2","Operacion","Servicios con inicio automatico que se encuentran detenidos","5 servicios","Un servicio configurado para iniciar automaticamente pero detenido puede indicar una falla no atendida o la desactivacion manual de un control de seguridad.","cloudResetPwdAgent, edgeupdate, RemoteRegistry, Tableau Bridge worker(db_replica@SRV-SAP), VMTools","REG-02; ARQ-01","REG-02; ARQ-01","Revisar el registro de eventos del sistema para cada servicio y determinar si la interrupcion es intencional y esta documentada.","SRV-SAP","2026-08-12T13:58:12"
