"Control","Tema","Titulo","Objetivo","Capas","Colectores","ColectoresEjecutados","NivelCobertura","Estado","Conformidad","TotalHallazgos","Criticos","Altos"
"A.8.9","Tecnologico","Gestion de la configuracion","Contrastar la configuracion del sistema y sus servicios contra una linea base segura documentada.","L2, L3, L5","L2-01, L2-03, L3-01, L5-01, L4-06","L2-01, L2-03, L3-01, L5-01, L4-06","Total","Evidenciado","No conforme","9","0","4"
"A.8.10","Tecnologico","Eliminacion de informacion","Verificar politica de retencion de registros y acumulacion de archivos temporales.","L8","L8-01","L8-01","Indicio","Evidenciado","Conforme","0","0","0"
"A.8.12","Tecnologico","Prevencion de fuga de datos","Detectar canales potenciales de exfiltracion: nube personal, P2P, medios extraibles y comparticiones abiertas.","L4, L7","L4-01, L7-01","L4-01, L7-01","Indicio","Evidenciado","No conforme","1","0","1"
"A.8.13","Tecnologico","Respaldo de la informacion","Verificar configuracion, ultima ejecucion y disponibilidad de respaldos e instantaneas.","L8","L8-01","L8-01","Parcial","Evidenciado","Conforme","0","0","0"
"A.8.15","Tecnologico","Registro de eventos (logging)","Verificar tamano, modo de retencion, proteccion y cobertura de la politica de auditoria de los registros de eventos.","L8, L2","L8-01, L2-03","L8-01, L2-03","Total","Evidenciado","No conforme","3","0","1"
"A.8.16","Tecnologico","Actividades de monitoreo","Verificar presencia de agentes de monitoreo, reenvio de eventos y anomalias operativas registradas.","L8, L9, L5","L8-01, L9-01, L5-02","L8-01, L9-01, L5-02","Parcial","Evidenciado","No conforme","6","0","2"
"A.8.17","Tecnologico","Sincronizacion de relojes","Verificar el servicio de tiempo y que apunte a una fuente NTP autorizada.","L2","L2-01","L2-01","Total","Evidenciado","Conforme","0","0","0"
"A.8.18","Tecnologico","Uso de programas utilitarios privilegiados","Detectar utilitarios capaces de eludir controles del sistema y su ubicacion.","L4, L5","L4-03, L5-01","L4-03, L5-01","Parcial","Evidenciado","Conforme","0","0","0"
"A.8.19","Tecnologico","Instalacion de software en sistemas operativos","CONTROL EJE DE ESTA AUDITORIA. Inventario, procedencia, ubicacion, firma digital, integridad y rol arquitectonico de todo artefacto de software instalado.","L4","L4-01, L4-02, L4-03, L4-04, L4-06","L4-01, L4-02, L4-03, L4-04, L4-06","Total","Evidenciado","No conforme","14","0","6"
"A.8.20","Tecnologico","Seguridad de redes","Verificar el estado del firewall por perfil y la superficie de escucha del servidor.","L7, L2","L7-01, L2-03","L7-01, L2-03","Total","Evidenciado","No conforme","4","0","3"
"A.8.21","Tecnologico","Seguridad de los servicios de red","Identificar servicios de red expuestos y protocolos heredados o sin cifrado habilitados.","L7","L7-01","L7-01","Parcial","Evidenciado","No conforme","4","0","2"
"A.8.22","Tecnologico","Segregacion de redes","Revisar interfaces, perfiles de red y alcance de escucha de los servicios sensibles.","L7","L7-01","L7-01","Indicio","Evidenciado","No conforme","1","0","1"
"A.8.24","Tecnologico","Uso de criptografia","Verificar cifrado de volumenes, protocolos TLS/SChannel habilitados y presencia de algoritmos debiles.","L2","L2-03","L2-03","Parcial","Evidenciado","Conforme","0","0","0"
"A.8.25","Tecnologico","Ciclo de vida de desarrollo seguro","Identificar dependencias y gestores de paquetes de desarrollo instalados en un servidor productivo.","L4","L4-02","L4-02","Indicio","Evidenciado","Conforme","0","0","0"
"A.8.28","Tecnologico","Codificacion segura","Detectar scripts operativos sin firma ni control de versiones, y la politica de ejecucion de PowerShell.","L4","L4-03","L4-03","Indicio","Evidenciado","Conforme con observaciones","1","0","0"
"A.8.31","Tecnologico","Separacion de entornos de desarrollo, prueba y produccion","Detectar SDK, compiladores o herramientas de desarrollo presentes en un servidor declarado como productivo.","L3, L4","L3-01, L4-02, L4-06","L3-01, L4-02, L4-06","Indicio","Evidenciado","No conforme","1","0","1"
"A.8.32","Tecnologico","Gestion de cambios","Establecer la trazabilidad de instalaciones y actualizaciones recientes contra cambios aprobados.","L4, L2","L4-01, L2-02","L4-01, L2-02","Parcial","Evidenciado","Conforme con observaciones","3","0","0"
"A.8.34","Tecnologico","Proteccion de sistemas de informacion durante auditorias","La suite opera en modo de solo lectura, evita clases WMI de efecto colateral y registra su propio impacto sobre el sistema auditado.","L9","L9-01","L9-01","Total","Evidenciado","Conforme","0","0","0"
