"Criterio","Dominio","Titulo","Objetivo","Capas","Colectores","ColectoresEjecutados","NivelCobertura","Estado","Conformidad","TotalHallazgos","Criticos","Altos"
"SW-03","SW - Gestion de software","Control de instalacion de software","Inventariar, ubicar y verificar todo artefacto de software, incluidos los instalados fuera del registro gestionado.","L4, L5","L4-01, L4-02, L4-03, L4-04, L4-06, L5-01, L5-02","","Total","Sin evidencia","No evaluado","0","0","0"
"SW-04","SW - Gestion de software","Cadena de suministro y repositorios de paquetes","Identificar gestores de paquetes, repositorios marcados como confiables y concentracion de proveedores.","L4","L4-02, L4-05","","Indicio","Sin evidencia","No evaluado","0","0","0"
"SW-05","SW - Gestion de software","Codigo operativo, scripts y utilitarios privilegiados","Detectar scripts sin firma ni trazabilidad, y utilitarios capaces de eludir controles.","L4, L5","L4-03, L5-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"VUL-01","VUL - Vulnerabilidades y proteccion","Gestion de vulnerabilidades tecnicas y parcheo","Medir la latencia de parcheo del sistema operativo y detectar correcciones pendientes o no efectivas.","L2, L3, L4","L2-02, L3-01, L4-05","","Parcial","Sin evidencia","No evaluado","1","0","0"
"VUL-02","VUL - Vulnerabilidades y proteccion","Proteccion contra codigo malicioso","Verificar estado del antimalware, vigencia de firmas y alcance de las exclusiones configuradas.","L2","L2-03","","Total","Sin evidencia","No evaluado","0","0","0"
"ACC-01","ACC - Identidad y control de acceso","Gestion de identidades y cuentas","Identificar cuentas locales inactivas, nunca usadas o sin responsable.","L6","L6-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"ACC-02","ACC - Identidad y control de acceso","Acceso privilegiado","Enumerar administradores locales, cuentas de servicio privilegiadas y automatizaciones con privilegio maximo.","L5, L6","L5-01, L5-02, L6-01","","Total","Sin evidencia","No evaluado","0","0","0"
"ACC-03","ACC - Identidad y control de acceso","Autenticacion y gestion de credenciales","Evaluar politica de contrasenas, bloqueo de cuentas y robustez del canal de autenticacion.","L6, L7","L6-01, L7-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"ACC-04","ACC - Identidad y control de acceso","Restriccion de acceso a la informacion","Revisar permisos de recursos compartidos de red y su alcance efectivo.","L6, L7","L6-01, L7-01","","Parcial","Sin evidencia","No evaluado","1","0","0"
"ACC-05","ACC - Identidad y control de acceso","Acceso remoto","Verificar configuracion de escritorio remoto, administracion remota y sus miembros autorizados.","L6, L7","L6-01, L7-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"RED-01","RED - Red y exposicion","Superficie de exposicion y filtrado de host","Verificar el estado del firewall por perfil y la superficie de escucha del servidor.","L2, L7","L2-03, L7-01","","Total","Sin evidencia","No evaluado","0","0","0"
"RED-02","RED - Red y exposicion","Servicios y protocolos de red","Identificar servicios expuestos y protocolos heredados o en texto claro habilitados.","L2, L7","L2-03, L7-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"RED-03","RED - Red y exposicion","Segmentacion de red","Revisar interfaces, perfiles de red y alcance de escucha de los servicios sensibles.","L7","L7-01","","Indicio","Sin evidencia","No evaluado","0","0","0"
"CRI-01","CRI - Criptografia","Cifrado de la informacion en reposo","Verificar el cifrado de los volumenes del servidor.","L1, L2","L1-01, L2-03","L1-01","Parcial","Evidencia parcial","Conforme","0","0","0"
"CRI-02","CRI - Criptografia","Protocolos y algoritmos criptograficos","Revisar los protocolos TLS/SChannel habilitados y detectar algoritmos debiles o heredados.","L2, L7","L2-03, L7-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"REG-01","REG - Registro y monitoreo","Registro de eventos","Verificar tamano, modo de retencion y cobertura de la politica de auditoria de los registros.","L2, L8","L2-03, L8-01","","Total","Sin evidencia","No evaluado","0","0","0"
"REG-02","REG - Registro y monitoreo","Monitoreo y deteccion de anomalias","Detectar indicadores de compromiso, persistencia no documentada y anomalias operativas.","L4, L5, L8, L9","L4-03, L4-04, L5-02, L8-01, L9-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"REG-03","REG - Registro y monitoreo","Preservacion de evidencia","Verificar retencion, reenvio centralizado e integridad de los registros que constituirian evidencia.","L8","L8-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"CAP-01","CAP - Capacidad y continuidad","Gestion de capacidad","Medir el uso de recursos frente a umbrales definidos y detectar saturacion.","L8, L9","L8-01, L9-01","","Total","Sin evidencia","No evaluado","0","0","0"
"CAP-02","CAP - Capacidad y continuidad","Respaldo y recuperacion","Verificar configuracion, ultima ejecucion y disponibilidad de respaldos e instantaneas.","L8","L8-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"CAP-03","CAP - Capacidad y continuidad","Continuidad operativa","Verificar mecanismos de recuperacion y estabilidad operativa del servidor.","L8, L9","L8-01, L9-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"DAT-01","DAT - Gestion de datos","Retencion y eliminacion de informacion","Verificar politica de retencion y acumulacion de archivos temporales.","L8","L8-01","","Indicio","Sin evidencia","No evaluado","0","0","0"
"DAT-02","DAT - Gestion de datos","Canales de salida de informacion","Detectar canales potenciales de exfiltracion de informacion.","L4, L7","L4-01, L7-01","","Indicio","Sin evidencia","No evaluado","0","0","0"
"DAT-03","DAT - Gestion de datos","Medios de almacenamiento","Inventariar volumenes y detectar medios extraibles conectados.","L1, L8","L1-01, L8-01","L1-01","Parcial","Evidencia parcial","Conforme","0","0","0"
"CAM-01","CAM - Gestion de cambios","Trazabilidad de cambios","Establecer la trazabilidad de instalaciones y actualizaciones recientes contra cambios aprobados.","L2, L4","L2-02, L4-01","","Parcial","Sin evidencia","No evaluado","0","0","0"
"CAM-02","CAM - Gestion de cambios","Procedimientos operativos documentados","Identificar automatizaciones y tareas programadas sin documentacion ni dueno.","L5","L5-02","","Indicio","Sin evidencia","No evaluado","0","0","0"
"AUD-01","AUD - Ejecucion de la auditoria","Proteccion del sistema durante la auditoria","La suite opera en modo de solo lectura, evita mecanismos de efecto colateral y registra su propio impacto.","L9","L9-01","","Total","Sin evidencia","No evaluado","0","0","0"
